word,tot_count
applet,2
appli,74
applic,271
applicationcontextawar,1
applicationdata,1
applicationdidbecomeact,1
applicationid,2
applicationscop,1
applicationus,1
applicationwilltermin,1
apply2fil,1
appnam,1
approach,21
appropri,13
approv,1
approxim,4
apprroach,1
appset,12
appstor,1
appx,1
april,1
aprovid,1
apt,6
aptana,1
arab,1
arang,1
arbitrari,17
arc,1
arc4random,1
arch,1
archetyp,2
architectur,33
archiv,7
arctang,1
area,14
arff,1
arg,14
argc,2
argmax,1
argmin,1
argpars,3
arguement,1
argument,102
argumentoutofrangeexcept,1
argv,4
aria,3
arithmet,11
ariti,1
arkit,10
arm,16
arm64,2
armeabi,1
armv8,1
around,22
arr,10
arrang,3
array,525
arrayadapt,1
arraybuff,2
arraydequ,1
arrayfield,1
arrayindexoutofboundsexcept,1
arraylist,25
arrayslic,1
arriv,2
arrow,47
art,6
articl,3
artifact,14
artifactori,1
artisan,11
artwork,1
asar,1
ascend,2
ascent,1
ascii,8
asciidoc,1
asdf,1
asid,3
ask,19
askpass,1
aslist,1
aslr,1
asm,4
asp,173
asparallel,1
aspect,11
aspnet,3
aspnetcor,1
aspnetroleclaim,1
aspnetus,1
aspnetuserclaim,1
aspnetuserrol,1
aspxauth,1
assembl,33
assemblybind,1
assemblyresolv,1
assert,25
assertdictcontainssubset,1
assertequ,2
assertionerror,3
assertj,1
assertsam,1
assertthat,1
asset,19
assign,99
assigne,1
assist,3
assoc,1
associ,14
assum,7
assur,2
ast,5
asterisk,5
astyp,2
async,129
asyncdelet,1
asynchron,43
asynchronoun,1
asynchttpcli,1
asyncio,17
asyncstorag,2
asynctask,6
asynctaskload,1
at,4
at&t,1
atan,1
atan2,1
athena,1
atindex,1
atindexpath,1
atla,1
atlassian,3
atob,1
atoi,1
atom,56
attach,17
attack,8
attempt,1
attent,3
attr,3
attribut,107
attributeerror,3
attributegraph,1
auc,2
aud,1
audienc,1
audio,29
audioplayernod,1
audiosystem,1
audit,2
auditor,1
augment,2
aurelia,6
auth,20
authent,88
authenticaiton,1
authentif,1
authguard,1
authmethod,1
author,27
authorizationstatu,1
authorizeattribut,1
authprovid,1
auto,105
auto&,1
autobind,1
autobox,3
autocad,1
autoclos,1
autocommit,1
autocomplet,8
autocompletepredict,1
autocompletetextview,1
autoconfigur,2
autocorrect,1
autocorrel,1
autoencod,2
autofac,3
autofil,4
autofocus,1
autoformat,1
autogener,3
autohotkey,1
autolayout,10
autoload,4
autom,10
automapp,6
automat,99
automatc,1
automaton,1
automodul,1
autonom,1
autoprefix,1
autoreleasepool,1
autosar,1
autoscal,1
autoslid,1
autostart,2
autowir,11
avail,55
avaudioengin,1
avcapturephoto,1
avcapturesess,1
avd,9
averag,11
avfound,2
avl,1
avmutablecomposit,1
avoid,98
avplay,9
avplayerviewcontrol,1
avqueueplay,1
avro,7
avsamplebufferdisplaylay,1
avx,7
avx2,2
avx512,1
aw,133
await,83
awar,4
away,10
awesom,16
awk,5
ax,1
axi,27
axio,23
axiom,1
axspeechassetdownload,1
azur,72
b+,1
babel,23
babun,1
back,82
backbonej,1
backdrop,2
backend,13
background,142
backgroundtint,1
backgroundtintmod,1
backpress,1
backslash,3
backtick,2
backtrac,2
backtrack,3
backup,10
backward,6
bacpac,1
bad,47
baddevicetoken,1
badg,6
badli,1
bahdanau,1
baidu,1
balanc,20
ballerina,1
ban,1
banana,1
bandwidth,2
bang,1
banner,4
bar,130
barbuttonitem,1
barchart,2
barcod,7
bare,3
barebon,1
barh,1
barplot,4
barrel,1
barrier,5
base,143
base64,19
base64str,1
baseaddress,1
baseeventloop,1
baselin,3
basemap,1
basenod,1
baseobserv,1
basepackag,1
basepackageclass,1
baseurl,2
bash,77
bashrc,1
basi,3
basic,26
basicconfig,1
basiclstmcel,1
bat,3
batch,43
batchfil,1
batchgetitem,1
batchnorm,1
batteri,3
bay,1
bcrypt,1
bcryptpasswordencod,1
bdd,1
bdist,1
beaglebon,1
beam,1
bean,20
beanpostprocessor,1
beanstalk,15
bearer,7
beat,2
beauti,3
beautifi,1
beautifulsoup,6
becom,12
beehiv,1
beep,1
beforeclass,1
beforeunload,1
begin,13
begininvokeonmainthread,1
beginn,3
behav,17
behavior,58
behaviorrelay,1
behaviorsubject,3
behaviour,21
behind,28
bell,1
belong,3
belongsto,1
bem,2
benchmark,5
benefit,22
bert,2
besid,5
bet,1
beta,16
beta6,1
better,54
beyond,3
bezier,1
bf,2
bg,2
bhim,1
bia,3
bias,2
biconnect,1
bidirect,7
big,35
bigdata,1
bigdecim,5
bigger,4
biggest,1
bigint,1
biginteg,2
bigqueri,8
bigtabl,1
bill,4
billion,2
bin,17
binari,50
binaryoper,1
bind,95
bindabl,1
bindactioncr,1
bindaddress,1
binderproxi,1
bindexcept,1
bindingresult,1
bindshar,1
bing,1
binomi,1
binstub,1
bio,1
biometr,1
bipartit,2
birth,1
birthday,1
bit,102
bitblt,1
bitboard,1
bitbucket,16
bitcod,6
bitcoin,2
bitmap,9
bitmask,1
bitnami,1
biton,1
bitset,1
bitvector,1
bitwis,7
bla,2
black,10
blackbox,2
blacklist,1
blade,10
blame,1
blank,9
blaze,2
blazor,8
ble,6
blend,3
blender,2
blind,2
blink,3
bloat,3
blob,14
bloc,2
block,115
blockchain,1
blockingcollect,1
blog,5
blogdown,1
blogger,1
blue,5
bluebird,3
blueimp,2
blueprint,3
bluetooth,7
bluetoothleadvertis,1
blur,13
bn,1
board,3
bodi,53
bodypars,2
boilerpl,2
bokeh,8
bold,3
bolt,2
bonecp,1
book,2
bookmark,2
bool,14
boolean,19
boost,13
boot,143
boot2dock,3
bootanim,1
bootload,1
bootstrap,157
bootswatch,1
border,33
bordercolor,1
borderradiu,1
borrow,2
bot,22
bother,2
boto,2
boto3,13
botocor,1
bottleneck,2
bottom,59
bottomnavigationbar,3
bottomnavigationview,6
bottomsheet,5
bottomsheetbehavior,1
bottomsheetdialog,2
bottomsheetdialogfrag,1
bought,1
bounc,1
bouncycastl,1
bound,27
boundari,6
boundingrectwiths,1
bower,15
box,46
boxdecor,1
boxen,1
boxplot,4
boxpoint,1
bq,2
br,2
brace,19
bracket,21
branch,99
branchless,1
brave,3
breach,1
breadcrumb,2
breadth,5
break,50
breakdown,1
breaker,1
breakout,1
breakpoint,13
brew,13
bridg,7
brigad,1
bright,3
brighter,1
bring,5
brk,1
broad,1
broadcast,9
broadcastreceiv,3
broadwel,1
brodal,1
broken,16
brokenpipeerror,1
broker,5
brown,1
browser,142
browserhistori,1
browserifi,2
browsermob,1
browserrout,1
browsersync,1
brush,1
brute,2
bs4,1
bson,1
bsondocu,1
bst,3
bswap,1
btn,2
btoa,1
bu,3
bubbl,10
bucket,23
buf,1
buffer,29
bufferedread,2
bug,45
bugfix,1
buggi,1
build,216
buildconfig,2
buildconfigfield,1
builder,20
buildpack,1
buildship,2
buildtask,1
buildtool,1
buildtyp,1
built,38
builtin,6
bulk,7
bullet,5
bump,1
bunch,2
bundl,32
bundleconfig,1
bundler,4
bundletool,1
burn,1
burst,1
busi,5
bust,2
buster,1
busybox,1
butterknif,2
button,196
buttonbarlayout,1
buttonstyl,1
buttton,1
bypass,5
byte,63
bytecod,4
bytedata,1
bytelandian,1
bytesio,1
bytestr,1
bytestream,1
c,244
c#,134
c#7,3
c+,1
c++,325
c++03,2
c++11,50
c++14,13
c++17,29
c++1z,2
c++20,12
ca,11
cabal,4
cach,116
caff,2
caffein,1
cake,1
cal,1
calabash,2
calay,2
calc,3
calcul,73
calculu,4
calendar,13
calibr,1
callabl,4
callback,38
callbackmanag,1
calle,1
caller,1
callkit,1
calloc,1
callout,1
callstack,1
came,2
camel,2
camelcas,6
camera,30
camera2,2
cameraoverlay,1
camerax,2
camp,1
campaign,2
canactiv,1
canaddoutput,1
cancel,17
cancelal,1
cancellationtoken,3
candid,1
candlestick,1
candrawoverlay,1
canload,1
canni,1
cannot,72
canon,1
canoverrideexistingmodul,1
canva,16
cap,3
capabl,4
capac,6
capistrano,1
capit,9
capitan,4
capsul,1
captcha,3
caption,3
captur,39
captureact,1
capturestackbacktrac,1
capybara,1
car,3
carbon,3
card,25
cardin,1
cardview,9
care,2
caret,3
cargo,3
carousel,12
carplay,3
carri,2
carrierwav,1
carrousel,1
cart,3
cartesian,3
cartfil,2
carthag,3
cartopi,1
cascad,2
case,73
cashapelay,2
cask,1
casperj,3
cassandra,8
cassert,1
cast,43
cat,4
catalina,6
catalog,2
catamorph,1
catch,47
categor,12
categori,9
caught,1
caus,70
caveat,1
cbv,2
cc,2
ccyymmdd,1
cd,3
cdef,1
cdi,1
cdk,1
cdn,12
ce,2
ceedl,1
cef,1
cefsharp,1
ceil,3
celeri,8
cell,63
cellar,1
cellular,1
center,60
centercrop,1
cento,13
centos7,1
central,4
centralis,1
cert,9
certain,53
certbot,2
certfil,1
certif,58
cfarray,1
cfbundleshortversionstr,1
cfbundlevers,1
cfg80211,1
cfretain,1
cg,1
cgcolor,1
cgimagealphainfo,1
cgmutablepath,1
cgpathappli,1
cgrect,2
cgwindow,1
ch,1
chage,1
chai,1
chain,36
chainmap,1
changedetectionstrategi,1
changeset,1
channel,27
channelfactori,1
chapter,2
char,49
char8,1
charac,1
charact,109
characterencodingfilt,1
characterist,2
charg,3
charl,4
charmap,1
charsequ,1
charset,5
chart,44
chartj,6
chartr,1
charvalu,1
chat,10
chatroom,1
cheapest,1
cheat,1
checkabl,1
checkbox,29
checker,1
checkin,1
checkmark,2
checkout,15
checkpoint,4
checkselfpermiss,1
checksum,3
checktgtandreloginfromkeytab,1
cherri,3
chess,1
chevron,1
child,79
childad,1
childeventlisten,1
children,1
china,1
chines,5
chip,4
chipgroup,1
chocolatey,3
choic,8
choos,22
chooser,2
chose,1
chosen,8
chown,2
chrome,142
chromecast,1
chromedriv,13
chromeo,1
chromeopt,2
chromium,3
chromiumwebbrows,1
chrono,4
chronolog,1
chronounit,1
chunk,10
chunksiz,1
church,1
ci,26
cider,3
cidr,2
cifar,1
cin,2
circl,26
circuit,7
circular,25
circularli,1
circularprogressind,1
circumst,1
circumv,1
citat,1
cite,2
citi,7
ciw,1
cj,1
ckeditor,5
claim,11
claimsident,1
clang,29
clang++,1
clarif,2
clash,1
class,471
classcastexcept,2
classic,7
classif,10
classifi,2
classload,2
classmap,1
classmethod,1
classnam,4
classnotfoundexcept,3
classnotreg,1
classpath,10
claus,14
clean,26
cleaner,4
cleanest,5
cleanli,5
cleanup,3
clear,70
cleartext,2
cleartimeout,1
clflush,1
cli,64
click,98
clickabl,11
clickonc,1
client,81
clientdetailsserviceconfigur,1
clientheight,1
clientid,1
clion,3
clip,5
clipboard,16
clipboardev,1
cliptopad,1
clisp,1
cllocationmanag,2
cloak,2
clock,11
clojur,11
clone,29
cloneabl,1
close,65
closeablehttpcli,1
closedbyinterruptexcept,1
closedchannelexcept,1
closer,1
closest,6
closur,18
cloud,85
cloud9,1
cloudflar,5
cloudform,8
cloudfront,7
cloudkit,6
cloudwatch,7
clr,1
cluster,40
clusterip,2
clusterissu,1
clustermap,2
clutter,2
cm,2
cmake,35
cmake3,1
cmakelist,3
cmath,1
cmd,15
cmder,2
cmp,1
cmpxchg,1
cmutablepoint,1
cncontact,1
cnf,1
cngkey,1
cnmutablecontact,1
cnn,2
co,6
coalesc,3
coars,1
cocoa,7
cocoapod,13
codabl,4
code,623
codebas,3
codebehind,1
codec,3
codedeploy,1
codegen,2
codeignit,6
codelen,1
codepen,1
codepoint,3
coderbyt,1
codesign,2
codil,1
coeffici,5
coerc,1
coercion,1
coexist,2
coffe,1
coffeescript,1
cofre,1
cognito,11
coher,2
coin,3
col,2
colab,17
colaboratori,7
cold,3
colemak,1
collabor,2
collaps,21
collapsingtoolbar,1
collapsingtoolbarlayout,5
collatz,2
collect,88
collect2,1
collectionview,2
collector,11
collectstat,1
collis,2
colnam,1
colon,9
color,203
colorbar,1
colormap,3
coloro,1
colour,14
colourblind,1
colspan,1
com,18
combin,62
combinelatest,2
come,13
comeback,1
comm,1
comma,28
command,242
commandlin,4
commandnam,1
comment,40
commerc,1
commerci,1
commit,97
commitnow,1
committe,1
common,23
commonj,2
commun,22
comonad,2
comonoid,1
comp1,1
comp2,1
comp3,1
compact,4
compani,1
companion,4
compar,85
comparefunct,1
comparison,32
compass,2
compat,27
compel,1
competit,1
compil,267
compiledscript,1
compilerresult,1
compilesdkvers,2
complain,8
complement,3
complementari,1
complet,65
completablefutur,10
completeablefutur,1
completionhandl,1
completionstag,1
completli,1
complex,41
compli,1
complianc,4
compliant,4
complic,4
compon,293
componentdidmount,8
componentdidupd,1
componentfixtur,1
componentscan,2
componentwillmount,6
componentwillreceiveprop,1
componentwillunmount,2
compos,78
composit,12
compound,4
comprehens,14
compress,10
compressionqu,1
compromis,1
comput,59
computeifabs,1
con,7
concat,5
concaten,33
concatmap,1
concentr,1
concept,7
conceptu,1
concern,1
concis,3
concret,3
concurr,28
concurrencystamp,1
concurrentdictionari,1
concurrenthashmap,2
concurrentmap,1
cond,1
conda,33
condit,101
conditionalonmissingbean,1
conditon,1
cone,1
conemu,1
conf,12
confer,1
confid,2
config,56
configmap,3
configproto,1
configur,131
configurationmanag,1
configurationproperti,1
configureawait,3
configureservic,1
confirm,12
conflict,18
confluent,1
conform,10
confus,3
confuserex,1
conjectur,1
conjunct,1
connect,178
connector,1
conquer,1
consecut,4
consensu,1
consequ,2
consid,32
consider,2
consist,13
consol,113
consolid,1
const,80
const&,3
constant,51
constantli,3
constexpr,31
constitut,1
constrain,2
constraint,34
constraintequaltoanchor,1
constraintlayout,9
construct,38
constructor,99
consttim,1
consum,24
consumpt,3
contact,14
contain,318
contemporari,1
content,127
contentchild,1
contentedit,3
contentprovid,1
contest,1
context,60
contextmanag,1
contextmenu,1
contigu,9
contiguousarray,1
conting,1
continu,32
continuewith,1
contour,7
contourf,1
contract,4
contradictori,1
contrast,1
contravari,1
contrib,3
contribut,1
controlleradvic,1
controllercontext,1
controlmast,1
controlvalueaccessor,1
conv1dtranspos,1
conv2d,2
conveni,4
convent,13
convergencewarn,1
convers,29
convertfrom,1
convertpoint,1
converttimefromutc,1
convex,1
convient,1
convinc,1
convolut,7
cookbook,1
cooki,35
cooper,1
coordin,19
coordinatorlayout,4
copi,136
copyabl,4
copyconstruct,1
copymemori,1
copymerg,1
copyright,1
copyto,1
cor,23
corb,1
cordova,34
core,233
coredata,4
coreo,2
coresimul,1
corespotlight,1
corner,23
cornerradiu,4
cornerston,1
corona,1
coroutin,16
coroutine2,1
corpor,1
corpu,2
correct,83
correctli,53
correl,9
correspond,8
corrplot,1
corrupt,3
cortex,1
cosin,1
cosmo,1
cost,16
coturn,1
could,55
count,64
countdown,4
countdowntim,1
counter,8
counterpart,1
counti,2
countof,1
countri,4
countvector,2
coupl,1
coupon,1
cout,6
covari,2
cover,10
coverag,14
coveral,1
cowplot,1
coyot,1
cp,4
cp27,1
cp35,1
cp932,1
cpanel,2
cplusplu,3
cpp,7
cppcon,1
cppcoreguidelin,1
cpu,32
cpupool,1
cpython,2
cql,1
cqlsh,1
cqr,1
cr,2
cran,1
crash,35
crashloopbackoff,1
crashlyt,5
crashlyticsmissingdependencyexcept,1
crate,1
crawl,2
crawlspid,1
crc,2
createbrowserhistori,1
createchoos,1
createdd,1
createfactori,1
createidentityasync,1
createport,1
createref,1
createstacknavig,1
createstor,1
creation,8
creator,4
credenti,23
credit,3
crisi,1
criterion,4
critic,3
crockford,2
cron,13
cronjob,3
crontab,1
crop,12
cross,25
crosscompil,1
crossdissolv,1
crossdomain,1
crossentropi,4
crosshairtool,1
crossinlin,1
crossorigin,1
crosstab,1
crosswalk,2
crt,2
crtp,3
crud,4
crudrepositori,3
crunch,1
crush,1
crypto,1
cryptograph,4
cryptographi,1
cryptoj,1
csc,3
csharp,1
cshtml,2
csp,2
csprng,2
csproj,4
csrf,7
css,211
css3,5
cssom,1
csv,62
csx,1
ct,1
ctag,1
ctcallcent,1
cte,1
ctor,1
ctp,1
ctree,1
ctrl,7
ctrl+shift+z,1
cube,5
cubic,1
cucumb,2
cuda,15
cudamalloc,1
cudamallocmanag,1
cudnn,3
cudnnlstm,1
cultur,1
cumsum,1
cumul,1
cupertino,1
cupertinodatepick,1
curious,1
curl,18
curli,12
currenc,6
current,146
currentthread,2
curri,8
curs,1
cursor,21
curv,10
custom,236
customeobject,1
customis,5
cut,8
cutout,1
cv,12
cv2,7
cvxopt,1
cw,1
cwt,1
cx,1
cxx,1
cycl,16
cyclic,1
cyclon,1
cyg,1
cygwin,9
cypher,5
cypress,5
cython,6
d,60
d3j,2
da,1
dae,2
daemon,20
dag,1
dagger,7
daili,1
dalvik,1
damag,1
danc,1
danger,12
dangl,2
dao,3
dapper,4
dark,22
darkactionbar,1
darken,2
darn,1
darodar,1
dart,35
darwin,1
dash,8
dashboard,6
dask,3
dat,1
datababs,1
databas,138
databind,10
datacent,1
datachannel,1
dataclass,1
dataflow,2
datafram,197
dataframegroupbi,1
dataframewrit,1
datagram,1
datagrip,1
datalist,3
dataload,1
dataproc,1
dataset,31
datasnapshot,1
datasourc,7
datastor,2
datat,9
datatask,1
datatyp,5
datatypeproperti,1
dataurl,1
date,163
dateformatt,1
datepick,8
datepickerdialog,1
datepickerview,1
datepip,1
daterangefield,1
datetim,28
datetimeformatterbuild,1
datetimeindex,1
datetimeoffset,1
datetimepick,1
datom,1
datum,1
dax,1
day,20
daylight,1
db,23
dbcontext,7
dbcontextopt,1
dbcontextoptionsbuild,1
dbd,1
dbeaver,3
dbm,1
dbparametercollect,1
dbtabl,1
dbu,1
dcast,1
dcu,1
dd,9
ddd,6
ddo,4
de,3
deactiv,3
dead,4
deadlock,8
deal,36
dealloc,2
deap,1
debian,7
debounc,10
debug,135
debugel,1
debugg,19
debugtyp,4
decay,4
decent,1
decid,9
decim,24
deciph,1
decis,2
deck,1
declar,122
declin,1
decltyp,7
declval,2
decod,27
decodeobject,1
decompil,2
decomposit,1
decompress,2
decor,15
decorview,1
decoupl,1
decreas,6
decrement,1
decrypt,13
dedic,1
deduc,5
deduct,3
deep,20
deepcopi,1
deepli,3
defaultdict,3
defaultprop,1
defaulttablemodel,1
defend,1
defer,15
defin,143
defineproperti,2
definit,30
deflat,1
defrag,1
defunct,1
deg,1
degrad,2
degre,7
deinit,1
del,4
delaunay,1
delay,26
deleg,17
delet,183
deleteonexit,1
delimit,3
deliv,2
deliveri,2
deliverresult,1
delphi,12
delta,2
delv,1
demangl,1
demonstr,2
dendrogram,1
deni,9
denorm,1
denot,1
dens,4
densiti,5
dentri,1
deoptimis,1
dep,3
deped,1
depend,144
dependson,1
deploy,71
deprec,68
deprecationwarn,2
deprect,1
depth,12
dequ,2
dequeu,1
dequeuereusablecel,1
dequeuereusablecellwithidentifi,1
derefer,1
dereferenc,3
deriv,14
descend,6
descent,3
describ,7
descript,11
descriptor,4
deseri,11
design,80
desir,3
desiredcap,1
deskew,1
desktop,28
despit,2
destin,5
destroy,12
destruct,3
destructor,21
destructur,7
desugar,1
detach,5
detail,17
detect,164
detector,2
deterior,1
determin,70
determinist,3
dev,28
devart,1
devector,1
devel,1
develop,89
deviat,1
devic,120
devicesupport,1
devis,5
devop,7
devtool,10
dex,2
df,6
dfa,1
dhcp,1
di,7
diacrit,1
diagnos,1
diagon,4
diagram,13
dial,2
dialect,3
dialer,2
dialog,31
dialogflow,3
dialogfrag,1
diamond,3
dic,1
dict,25
dictionari,78
dictproxi,1
dictread,1
didchangedepend,1
didfinishnavig,1
didhidezoomslid,1
didrotatefrominterfaceorient,1
didset,2
die,2
diesel,1
diff,15
diffabl,1
differenti,7
diffi,1
difficult,1
diffutil,1
digest,5
digit,27
dijkstra,2
dim,4
dimen,2
dimens,16
dimension,10
dind,1
dir,11
dircet,1
direct,62
directli,33
directori,143
directwrit,1
dirichlet,1
dirnam,2
dirti,5
disabl,190
disadvantag,4
disallow,4
disallowedhost,1
disambigu,2
disappear,7
disassembl,2
discard,2
disclosur,1
disconnect,5
discontinu,2
discord,3
discount,1
discourag,5
discov,4
discoveri,4
discret,1
discuss,1
diseas,1
disjoint,1
disk,27
dismiss,23
dispatch,19
dispatcherservlet,2
displa,1
displac,1
display,157
displayclass,1
dispos,3
disqu,1
disregard,1
disruptor,1
dist,2
distanc,17
distancevector,2
distinct,16
distinguish,5
distort,4
distract,1
distribut,29
distributedcach,1
disturb,2
distutil,3
disutil,1
div,52
diverg,3
divi,1
divid,18
divis,10
divisor,3
django,138
django2,1
dl,3
dlib,1
dll,17
dlopen,1
dlq,1
dlsym,1
dma,1
dmarc,1
dn,10
dnsmasq,1
dnu,1
dnvm,1
dnx,3
doall,1
doc,10
doc2vec,1
docblockr,1
docheck,1
docker,386
dockerfil,28
dockerhub,1
dockerignor,3
docstr,3
doctest,1
doctor,2
doctrin,3
doctyp,1
document,99
documentcli,1
documentdb,1
docvalu,1
docx,2
doesnt,2
dokku,1
dollar,4
dom,32
domain,34
domexcept,1
domin,1
domino,1
done,20
dongl,1
dont,1
dontwarn,1
dorun,1
doseq,1
dot,25
dotenv,2
dotfil,1
dotnet,10
dotti,1
doubl,65
doublecolumn,1
doubli,2
doughnut,3
down,1
downcast,1
downgrad,8
downleveliter,1
download,124
downloadmanag,1
downsid,4
downstream,1
downtim,2
dowrit,1
doze,1
dp,5
dpi,10
dpkg,1
dplyr,35
dpm,1
drag,17
draggabl,1
drain,1
dram,1
dramat,3
draw,48
drawabl,16
drawableleft,2
drawableright,2
drawer,19
drawerlayout,5
drawimag,1
drawrect,3
drawstr,1
drawviewhierarchyinrect,1
drew,1
drf,4
dri,3
drift,1
drill,1
drive,23
driven,9
driver,26
drl,1
drool,1
drop,39
dropbox,2
dropdown,26
dropdownbutton,1
dropdownlist,1
dropdownmenu,1
dropdownmenuitem,1
dropout,4
dropup,1
dropzon,4
drupal,4
drush,1
dryscrap,1
dsc,1
dsl,1
dst,1
dstream,1
dsym,2
dtassetproviderservic,1
dto,7
dtrace,1
dtype,2
dual,2
duck,1
due,4
dumb,2
dummi,4
dummyadapt,1
dump,14
dumpsi,1
dunder,1
duplex,1
duplic,39
durat,10
dvd,1
dvm,2
dvorak,2
dwarf,2
dwg,1
dwm,2
dword,1
dxerr,1
dy,1
dyanimc,1
dylib,9
dyn,1
dynam,138
dynamicli,1
dynamo,1
dynamodb,20
eabi,1
eacc,1
eager,4
eagerli,1
eai,1
eap,1
earli,6
earlier,3
earliest,1
earth,1
easi,10
easier,2
easiest,11
easili,10
eat,4
eater,1
eav,1
eax,1
eb,1
ebo,1
ebook,1
ebp,1
ebpf,1
ec,9
echo,7
ecl,1
eclips,45
ecma6,1
ecmascript,13
econom,1
ecosystem,1
ecto,1
ed,1
edg,32
edit,59
editext,1
editor,39
editorfor,3
edittext,16
edraw,1
ee,6
ef,18
effect,57
effici,81
egg,1
eh,1
ehcach,1
eigen,3
eigenvalu,1
eigenvector,2
eigh,1
eight,1
either,13
ej,6
ejb,1
eject,1
el,6
elaps,1
elapsead,1
elast,19
elasti,1
elasticbeanstalk,1
elasticsearch,32
elb,2
electron,21
eleg,12
elegantli,3
elementhandl,1
elementnotinteractableexcept,1
elementtre,2
elementwis,1
elev,3
elf,4
elif,1
elifecycl,1
elimin,1
elis,3
elixir,20
elk,1
ellips,1
ellipsi,5
elm,6
eloqu,22
els,30
elseif,1
elsewher,1
elsif,1
em,2
emac,16
email,62
emb,21
embeb,1
embed,31
ember,7
emit,12
emitt,1
eml,1
emmet,1
emo,1
emoji,24
emoticon,2
emplac,6
employe,1
empti,88
emptyqueueexcept,1
emr,7
emscripten,2
emul,32
emulatorservic,1
en,3
enabl,112
enabledelayedexpans,1
enbl,1
encapsul,8
enclos,6
enclosingclass,1
encod,47
encount,2
encourag,2
encrypt,24
encryptedsharedprefer,1
enctyp,1
encumb,1
end,70
end+1,1
endia,1
endian,3
endless,2
endpoint,20
endpointarn,1
endswith,2
energi,2
enforc,6
engin,46
english,5
enhanc,3
eniti,1
enoent,2
enoloc,1
enospc,1
enough,10
enrol,1
ensembl,1
